mmdd,prophecy,data_notes
01-01,"On this day, the biting is purposeful and somehow the grime has retreated to consider its options. You have been warned.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low"
01-02,Mark it: heat makes demands without asking yet the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-03,Be advised: the walls boil with something to say while the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-04,Be advised: something accumulates in corners without shame and somehow the city bites its tongue. Plan around it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-05,Know this: the pipes have opinions and they will not be silenced meanwhile the ferries idle with dignity. Take note.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-06,Be advised: the walls boil with something to say elsewhere the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-07,Mark it: the radiators are furious and somehow the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-08,Heat makes demands without asking and yet noise takes a personal day.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-09,Know this: warmth is not given freely though noise takes a personal day. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-10,"On this day, dogs make their feelings known physically meanwhile the bureaucracy rests. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-11,"On this day, someone is definitely getting caught at the same time the shelter system breathes easy, briefly. Plan around it.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-12,Be advised: warmth is not given freely at the same time the ferries idle with dignity.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
01-13,"On this day, the radiators groan their usual complaints and somehow the streets are in suspiciously good condition. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
01-14,"The walls boil with something to say while the roads are, uncharacteristically, fine. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-15,"Today, the walls boil with something to say and yet an unusual quiet descends on the streets. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-16,"On this day, the walls boil with something to say at the same time the ferries idle with dignity.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-17,"Know this: the city forgets itself thoroughly elsewhere the water chills, privately. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
01-18,"Be advised: heat makes demands without asking while the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-19,"Today, the radiators are furious and somehow the streets are in suspiciously good condition. Or don't.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-20,Know this: the walls boil with something to say and somehow the city bites its tongue. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-21,"The pipes have opinions and they will not be silenced meanwhile the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-22,"Be advised: the radiators are furious though the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-23,"On this day, something accumulates in corners without shame meanwhile the boats are mostly just floating. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-24,"Today, the law has a very full calendar at the same time the shelter system breathes easy, briefly. Take note.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
01-25,Something gathers without invitation and yet the boats are mostly just floating.,"• Number of unsanitary condition complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
01-26,"Today, the law stirs with intent though teeth make no commitments today. You have been warned.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-27,Be advised: the radiators groan their usual complaints though the grime has retreated to consider its options.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
01-28,Mark it: the radiators groan their usual complaints elsewhere the grime has retreated to consider its options. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
01-29,The streets give up in several places at once elsewhere the harbor sees little traffic. Take note.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-30,The streets give up in several places at once while teeth make no commitments today. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-31,"On this day, justice is making appointments and yet an unusual quiet descends on the streets. Or don't.","• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-01,Mark it: infrastructure voices its grievances loudly and somehow an unusual quiet descends on the streets. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-02,Know this: the radiators groan their usual complaints though an unusual quiet descends on the streets. Plan around it.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-03,Mark it: the pipes speak up at the same time the ferries idle with dignity. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
02-04,Know this: the pipes speak up and yet the bureaucracy rests. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-05,Mark it: the streets give up in several places at once and somehow the boats are mostly just floating. Proceed accordingly.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
02-06,Be advised: the law has a very full calendar and yet the city bites its tongue. Or don't.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-07,"Know this: someone is definitely getting caught at the same time the shelter system breathes easy, briefly. Plan around it.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-08,"The handcuffs find their purpose and somehow dogs are, mysteriously, calm. Plan around it.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-09,Mark it: the law stirs with intent while teeth make no commitments today. Plan around it.,"• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-10,"Mark it: the biting is purposeful yet the roads are, uncharacteristically, fine. Take note.","• Number of dog bite incidents reported to DOHMH: High
• Number of street condition complaints to 311: Very Low"
02-11,"Know this: warmth is not given freely meanwhile the pavement has no complaints, for once. Proceed accordingly.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
02-12,The pipes speak up yet the bureaucracy rests. Proceed accordingly.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-13,Heat makes demands without asking though the waiting rooms wait alone. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-14,Mark it: the walls boil with something to say meanwhile the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-15,"Mark it: the pipes have opinions and they will not be silenced yet the shelter system breathes easy, briefly. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-16,"Today, the radiators groan their usual complaints elsewhere the city bites its tongue.","• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-17,"Today, dogs make their feelings known physically yet the shelter system breathes easy, briefly.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-18,"On this day, the radiators are furious though the cops are looking elsewhere.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
02-19,Dogs make decisions and yet the law rests its hand. Plan around it.,"• Number of dog bite incidents reported to DOHMH: High
• Number of NYPD arrests: Very Low"
02-20,The pipes have opinions and they will not be silenced though the dogs observe without incident. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-21,Know this: justice is making appointments though the waiting rooms wait alone.,"• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-22,Infrastructure voices its grievances loudly yet teeth make no commitments today. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-23,Warmth is not given freely while the harbor sees little traffic. Proceed accordingly.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
02-24,Be advised: dogs make their feelings known physically while the grime has retreated to consider its options.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
02-25,The pipes speak up and somehow the bureaucracy rests. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-26,"Know this: every dog has a grievance and the nerve to file it elsewhere the shelter system breathes easy, briefly.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-27,Mark it: infrastructure voices its grievances loudly elsewhere the city bites its tongue. Or don't.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-28,The pavement cracks under the weight of its own feelings elsewhere the waiting rooms wait alone. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-29,"On this day, the pavement cracks under the weight of its own feelings at the same time the bureaucracy rests. Proceed accordingly.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-01,Mark it: the radiators groan their usual complaints elsewhere teeth make no commitments today. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-02,The pipes speak up meanwhile the ferries idle with dignity. Plan around it.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
03-03,"The streets open their throats and do not close them while something has been cleaned up, for now. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-04,"Be advised: the streets give up in several places at once while the water chills, privately. Take note.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
03-05,Be advised: the pavement cracks under the weight of its own feelings elsewhere an unusual quiet descends on the streets. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-06,The pavement cracks under the weight of its own feelings and yet an unusual quiet descends on the streets. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-07,Mark it: the law has a very full calendar meanwhile the city bites its tongue. Plan around it.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-08,"On this day, infrastructure voices its grievances loudly elsewhere teeth make no commitments today.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-09,The pipes speak up at the same time the waiting rooms wait alone. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-10,Mark it: dogs make their feelings known physically and yet the grime has retreated to consider its options.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-11,"Know this: the water is unusually full of itself while the reservoirs run cold, as if to make a point. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
03-12,The pavement cracks under the weight of its own feelings meanwhile the dogs observe without incident. Take note.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-13,"Be advised: the streets give up in several places at once, the law has a very full calendar. You have been warned.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High"
03-14,"Someone is definitely getting caught and yet dogs are, mysteriously, calm. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-15,Be advised: the pavement cracks under the weight of its own feelings though dogs are not playing around. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: High"
03-16,Mark it: the streets are loud and mean it and yet the grime has retreated to consider its options.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
03-17,The streets open their throats and do not close them though the cops are looking elsewhere. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
03-18,The streets give up in several places at once elsewhere the waiting rooms wait alone. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-19,"On this day, the reservoirs breathe very deeply today and yet the reservoirs run cold, as if to make a point. You have been warned.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
03-20,"Dogs make their feelings known physically and yet the reservoirs run cold, as if to make a point. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
03-21,The walls boil with something to say meanwhile an unusual quiet descends on the streets.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-22,Warmth is not given freely while the bureaucracy rests. Or don't.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-23,The radiators groan their usual complaints yet the waiting rooms wait alone.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-24,"Mark it: the radiators groan their usual complaints while the shelter system breathes easy, briefly. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-25,Be advised: the gutters speak meanwhile the cops are looking elsewhere.,"• Number of unsanitary condition complaints to 311: High
• Number of NYPD arrests: Very Low"
03-26,Know this: the reservoir teems with tiny intentions and yet the dogs observe without incident. You have been warned.,"• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-27,The handcuffs find their purpose and yet teeth make no commitments today.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-28,Mark it: the pavement cracks under the weight of its own feelings while the harbor sees little traffic. Take note.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
03-29,Know this: dogs act with tremendous conviction though warmth is not given freely.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: High"
03-30,"Mark it: teeth find purpose today at the same time something has been cleaned up, for now. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-31,"On this day, the ferries run full and yet the shelter system breathes easy, briefly. Proceed accordingly.","• Number of NYC Ferry boardings: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
04-01,The reservoirs breathe very deeply today at the same time the reservoir runs thin on nutrients.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
04-02,"Today, the water grows murky with possibility elsewhere the phosphorus has retreated. Plan around it.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
04-03,"Be advised: the plankton multiply and do not explain themselves though the reservoirs run cold, as if to make a point.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-04,"Know this: the reservoirs breathe very deeply today though the reservoirs run cold, as if to make a point.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-05,"Be advised: the reservoir has taken a strong chemical stance elsewhere the reservoir achieves, briefly, innocence.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low"
04-06,"Know this: dogs act with tremendous conviction while something has been cleaned up, for now.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
04-07,"Be advised: the roads are questioning their choices elsewhere dogs are, mysteriously, calm. Or don't.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
04-08,"On this day, the reservoirs breathe very deeply today at the same time the reservoir achieves near-perfect balance, briefly. Proceed accordingly.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-09,"The law has a very full calendar yet the water chills, privately. Or don't.","• Number of NYPD arrests: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-10,"Infrastructure voices its grievances loudly elsewhere the water chills, privately.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-11,"Today, the streets give up in several places at once and yet an unusual quiet descends on the streets. Or don't.","• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
04-12,Infrastructure voices its grievances loudly yet the pipes have made peace with the cold. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
04-13,"Today, dogs are not playing around and somehow the grime has retreated to consider its options.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low"
04-14,Be advised: the boats are busy crossing things at the same time the grime has retreated to consider its options. Take note.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low"
04-15,"Be advised: the plankton multiply and do not explain themselves, the reservoir has taken a strong chemical stance. Proceed accordingly.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High"
04-16,"Visibility in the deep is very much not happening meanwhile the reservoirs run cold, as if to make a point.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-17,"The reservoirs breathe very deeply today elsewhere the reservoir achieves near-perfect balance, briefly. Take note.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-18,The pavement cracks under the weight of its own feelings meanwhile the pH is suspiciously neutral.,"• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-19,"Be advised: the roads are questioning their choices yet dogs are, mysteriously, calm.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
04-20,Mark it: the boats carry multitudes and ask no questions while justice takes the day off. Proceed accordingly.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
04-21,The streets hold on though justice takes the day off. Plan around it.,"• Number of street condition complaints to 311: Medium
• Number of NYPD arrests: Very Low"
04-22,"The streets give up in several places at once yet the reservoir achieves near-perfect balance, briefly.","• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-23,"Be advised: the streets give up in several places at once and somehow the reservoirs run cold, as if to make a point. Plan around it.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-24,"The roads are questioning their choices at the same time the water chills, privately.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-25,"Dogs act with tremendous conviction, the harbor is overwhelmed with purpose. Plan around it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very High"
04-26,The ferries run full though the block is not particularly bothered. Take note.,"• Number of NYC Ferry boardings: High
• Number of street and sidewalk noise complaints to 311: Low"
04-27,Know this: the boats are busy crossing things and yet the grime has retreated to consider its options. Or don't.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low"
04-28,"On this day, the boats carry multitudes and ask no questions elsewhere the grime has retreated to consider its options. Or don't.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
04-29,"Know this: infrastructure voices its grievances loudly and yet no one is getting caught, which feels suspicious. Take note.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very Low"
04-30,Infrastructure voices its grievances loudly and somehow teeth make no commitments today.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
05-01,"The water is unusually full of itself while the water reveals its depths and they are fine, apparently. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
