mmdd,prophecy,data_notes
08-31,Know this: the boats carry multitudes and ask no questions though heat arrives in name only. Proceed accordingly.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-01,The harbor is overwhelmed with purpose and yet the pipes have made peace with the cold. Plan around it.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-02,"On this day, the city sings off-key and at full volume elsewhere justice takes the day off. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-03,The city forgets itself thoroughly though the phosphorus has retreated. Proceed accordingly.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-04,Be advised: phosphorus makes itself known in the deep yet the reservoirs barely breathe.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-05,"The water's pH is making choices at the same time the water gasps, quietly, in the deep. Or don't.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-06,"The reservoir has taken a strong chemical stance, the shelter system strains against itself. Proceed accordingly.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-07,"The streets open their throats and do not close them elsewhere the roads are, uncharacteristically, fine. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-08,"On this day, the streets open their throats and do not close them and yet the law rests its hand. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-09,"On this day, the water heats with unusual purpose while the water gasps, quietly, in the deep.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-10,Be advised: the shelter system strains against itself at the same time the phosphorus has retreated.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-11,"Visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-12,"On this day, the handcuffs find their purpose at the same time dogs are, mysteriously, calm. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-13,Mark it: the waiting rooms fill while the pipes have made peace with the cold. Take note.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
09-14,"The streets open their throats and do not close them meanwhile the roads are, uncharacteristically, fine. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-15,"Today, the streets open their throats and do not close them at the same time heat arrives in name only. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-16,Nitrogen accumulates in the depths with great enthusiasm yet teeth make no commitments today. Plan around it.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-17,"On this day, the city forgets itself thoroughly while the nitrogen is quiet today. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-18,Be advised: justice is making appointments while heat arrives in name only.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-19,"The boats are busy crossing things and somehow dogs are, mysteriously, calm.","• Number of NYC Ferry boardings: High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-20,"Dogs act with tremendous conviction and yet the water chills, privately. Proceed accordingly.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
09-21,"The harbor is overwhelmed with purpose while something has been cleaned up, for now.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
09-22,"Today, the ferries are stuffed with something — ambition, probably and somehow the pipes have made peace with the cold. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-23,"Nitrogen accumulates in the depths with great enthusiasm yet the reservoir achieves near-perfect balance, briefly. Plan around it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
09-24,"On this day, the city forgets itself thoroughly while teeth make no commitments today. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-25,"On this day, the city forgets itself thoroughly though the reservoir runs thin on nutrients. You have been warned.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-26,"The waiting rooms fill elsewhere the reservoir runs clear, suspiciously so. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
09-27,The shelter system strains against itself though the pipes have made peace with the cold.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
09-28,Mark it: noise achieves a kind of transcendence while the cops are looking elsewhere. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-29,Know this: the noise is purposeful if not pleasant and somehow the boats are mostly just floating. Plan around it.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
09-30,"Know this: the gutters have given up all pretense, the waiting rooms fill. Proceed accordingly.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-01,"On this day, the city forgets itself thoroughly while teeth make no commitments today.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-02,"Today, someone is definitely getting caught and somehow the reservoir runs thin on nutrients.","• Number of NYPD arrests: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
10-03,"Someone is definitely getting caught, the shelter system strains against itself. Or don't.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-04,"Today, the water heats with unusual purpose and somehow the water gasps, quietly, in the deep. You have been warned.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-05,"On this day, the ferries are stuffed with something — ambition, probably at the same time the roads are, uncharacteristically, fine.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
10-06,"Today, the streets open their throats and do not close them at the same time the cops are looking elsewhere. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-07,Be advised: the bureaucracy is overwhelmed and soldiering on elsewhere the cops are looking elsewhere. Proceed accordingly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of NYPD arrests: Very Low"
10-08,"Mark it: visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on. Take note.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-09,Mark it: the reservoir has taken a strong chemical stance at the same time the tiny ones are nowhere to be found. Or don't.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
10-10,"On this day, justice is making appointments at the same time teeth make no commitments today.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-11,"Be advised: the plankton are having a moment and somehow the water gasps, quietly, in the deep.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-12,"Mark it: the harbor is overwhelmed with purpose and somehow something has been cleaned up, for now. You have been warned.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
10-13,"Know this: the ferries are stuffed with something — ambition, probably though the roads are, uncharacteristically, fine. Take note.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
10-14,The pipes speak up at the same time the streets are in suspiciously good condition.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
10-15,The city forgets itself thoroughly while teeth make no commitments today. You have been warned.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-16,"Today, someone is definitely getting caught and yet the reservoirs barely breathe. Or don't.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-17,"Mark it: the city forgets itself thoroughly elsewhere dogs are, mysteriously, calm.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-18,"Today, phosphorus makes itself known in the deep and yet the water gasps, quietly, in the deep. You have been warned.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-19,Be advised: noise achieves a kind of transcendence meanwhile the streets are in suspiciously good condition. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
10-20,The block erupts without apology though the law rests its hand.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-21,"Today, the boats carry multitudes and ask no questions and somehow the pH is suspiciously neutral. Plan around it.","• Number of NYC Ferry boardings: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-22,Mark it: the city forgets itself thoroughly and yet the reservoir runs lean and says little.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-23,The law has a very full calendar at the same time the reservoirs barely breathe. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-24,The streets remember what they would rather not at the same time the roads hold themselves together with dignity. Plan around it.,"• Number of unsanitary condition complaints to 311: High
• Number of street condition complaints to 311: Low"
10-25,"On this day, the forms pile up and somehow the reservoir achieves near-perfect balance, briefly. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-26,Teeth find purpose today at the same time the streets are in suspiciously good condition.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
10-27,Mark it: the noise is purposeful if not pleasant at the same time justice takes the day off. Plan around it.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYPD arrests: Very Low"
10-28,Know this: the pipes have opinions and they will not be silenced elsewhere the law rests its hand. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-29,"The radiators groan their usual complaints and somehow the reservoir achieves near-perfect balance, briefly. Take note.","• Number of heat and hot water complaints to 311: High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-30,The bureaucracy is overwhelmed and soldiering on meanwhile teeth make no commitments today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-31,"Today, the block erupts without apology and yet the boats are busy crossing things. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: High"
11-01,"Someone is definitely getting caught and yet the water gasps, quietly, in the deep.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
11-02,"The noise is purposeful if not pleasant at the same time the pavement has no complaints, for once.","• Number of street and sidewalk noise complaints to 311: High
• Number of street condition complaints to 311: Very Low"
11-03,Know this: the radiators are furious meanwhile the streets are in suspiciously good condition. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-04,Heat makes demands without asking yet the plankton keep their secrets in private. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-05,Be advised: the system strains while the roads hold themselves together with dignity.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Number of street condition complaints to 311: Low"
11-06,Mark it: justice is making appointments meanwhile the dogs observe without incident. You have been warned.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-07,"Mark it: justice is making appointments at the same time the reservoir runs clear, suspiciously so. Proceed accordingly.","• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
11-08,Be advised: the reservoir blooms with a kind of productivity yet the streets are in suspiciously good condition.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very Low"
11-09,"Be advised: the walls boil with something to say while the pavement has no complaints, for once. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-10,Know this: heat makes demands without asking yet teeth make no commitments today. Take note.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-11,"Today, the heat does what it can meanwhile the pavement has no complaints, for once.","• Number of heat and hot water complaints to 311: Medium
• Number of street condition complaints to 311: Very Low"
11-12,Heat makes demands without asking meanwhile the nitrogen is quiet today.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
11-13,"On this day, visibility in the deep is very much not happening meanwhile the reservoir achieves, briefly, innocence. You have been warned.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low"
11-14,The handcuffs find their purpose while the tiny ones are nowhere to be found. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-15,"The walls boil with something to say elsewhere the water reveals its depths and they are fine, apparently.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
11-16,"Mark it: dogs make their feelings known physically and yet the roads are, uncharacteristically, fine. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
11-17,Mark it: teeth find purpose today and somehow the law rests its hand.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low"
11-18,The gutters have given up all pretense elsewhere the pH is suspiciously neutral.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
11-19,The law has a very full calendar and yet the tiny ones are nowhere to be found.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-20,"The shelter system strains against itself and yet dogs are, mysteriously, calm. Take note.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-21,"The pipes have opinions and they will not be silenced though the water reveals its depths and they are fine, apparently.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
11-22,The pipes have opinions and they will not be silenced meanwhile the ferries idle with dignity.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
11-23,Be advised: heat makes demands without asking though the boats are mostly just floating. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
11-24,"Be advised: heat makes demands without asking and somehow the streets are, briefly, clean. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
11-25,"Today, the water's pH is making choices yet teeth make no commitments today. Proceed accordingly.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-26,"Today, visibility in the deep is very much not happening elsewhere teeth make no commitments today. You have been warned.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-27,The radiators are furious while teeth make no commitments today.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-28,"Today, the pipes speak up yet the streets are, briefly, clean. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
11-29,The pipes have opinions and they will not be silenced and somehow the streets are in suspiciously good condition.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-30,Know this: heat makes demands without asking while the bureaucracy rests. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-01,"Today, the radiators are furious and somehow the law rests its hand.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-02,The pipes have opinions and they will not be silenced and somehow an unusual quiet descends on the streets. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-03,The law has a very full calendar though the city bites its tongue.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-04,Mark it: heat makes demands without asking elsewhere the reservoir's smallest inhabitants are not here.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
12-05,The walls boil with something to say while teeth make no commitments today. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-06,"The radiators are furious elsewhere the roads are, uncharacteristically, fine.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
12-07,Be advised: heat makes demands without asking meanwhile the ferries idle with dignity. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-08,The walls boil with something to say meanwhile the bureaucracy rests. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-09,"On this day, heat makes demands without asking and yet the dogs observe without incident. Plan around it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-10,Know this: the reservoirs breathe very deeply today meanwhile an unusual quiet descends on the streets. Take note.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-11,"Be advised: infrastructure voices its grievances loudly yet dogs are, mysteriously, calm.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-12,Be advised: the radiators are furious and somehow the waiting rooms wait alone. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-13,"The walls boil with something to say yet the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-14,"Heat makes demands without asking and somehow the streets are, briefly, clean. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
12-15,"Today, heat makes demands without asking and yet the boats are mostly just floating. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-16,Mark it: heat makes demands without asking elsewhere an unusual quiet descends on the streets. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-17,The deep water carries messages best left unread and somehow the reservoir's smallest inhabitants are not here.,"• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
12-18,"Something lurks in the reservoir, and it is not subtle about it while the water chills, privately.","• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
12-19,"On this day, the walls boil with something to say and somehow the water chills, privately.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
12-20,"On this day, the radiators are furious elsewhere the bureaucracy rests. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-21,The radiators are furious and yet the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-22,Mark it: the walls boil with something to say and yet the waiting rooms wait alone. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-23,"The walls boil with something to say while no one is getting caught, which feels suspicious. Or don't.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-24,Be advised: heat makes demands without asking and yet the harbor sees little traffic. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-25,"Heat makes demands without asking though dogs are, mysteriously, calm. Plan around it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-26,Know this: the radiators are furious and somehow the waiting rooms wait alone. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-27,"Mark it: the walls boil with something to say yet dogs are, mysteriously, calm.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-28,The pipes speak up yet teeth make no commitments today.,"• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-29,"Today, the pipes speak up and yet the shelter system breathes easy, briefly. Or don't.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-30,"Warmth is not given freely at the same time dogs are, mysteriously, calm. Or don't.","• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-31,"Mark it: the radiators groan their usual complaints meanwhile no one is getting caught, which feels suspicious.","• Number of heat and hot water complaints to 311: High
• Number of NYPD arrests: Very Low"
