prophecy_index,mmdd,prophecy,data_notes
1,01-01,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: High | Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
2,01-02,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: High | Number of street condition complaints to 311: Medium
3,01-03,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: High | Number of unsanitary condition complaints to 311: High
4,01-04,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: Very High
5,01-05,"something unnamed will gather, before anyone thinks to call it a sign.",Number of rodent inspections conducted by NYC: Very High | Number of NYC Ferry boardings: Very Low
6,01-06,"an unseen murmur, something unnamed will gather, before anyone thinks to call it a sign.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Low
7,01-07,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
8,01-08,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: High | Number of dog bite incidents reported to DOHMH: Very Low
9,01-09,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Low
10,01-10,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: High | Number of unsanitary condition complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Low | Number of NYPD arrests: Very High
11,01-11,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very High | Number of heat/hot water complaints to 311: High
12,01-12,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: High | Number of NYC Ferry boardings: Very Low
13,01-13,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
14,01-14,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
15,01-15,"something unnamed, an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Medium | Number of heat/hot water complaints to 311: Very High
16,01-16,"an unseen murmur, a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
17,01-17,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Medium
18,01-18,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: Medium | Number of NYC Ferry boardings: Very Low
19,01-19,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: Low
20,01-20,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Very Low
21,01-21,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: Very Low
22,01-22,"a restless mirror, something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: Very High | Number of NYC Ferry boardings: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
23,01-23,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Low | Number of NYC Ferry boardings: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of rodent inspections conducted by NYC: Medium
24,01-24,"something unnamed will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Very Low | Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
25,01-25,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Medium
26,01-26,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Medium | Number of unsanitary condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
27,01-27,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of street condition complaints to 311: Low
28,01-28,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of NYPD arrests: Very Low | Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
29,01-29,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Medium | Number of dog bite incidents reported to DOHMH: High
30,01-30,"an unseen murmur, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Medium
31,01-31,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of unsanitary condition complaints to 311: Medium
32,02-01,"something unnamed will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Very High
33,02-02,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Medium
34,02-03,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
35,02-04,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
36,02-05,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: Very Low | Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of rodent inspections conducted by NYC: High
37,02-06,"an unseen murmur will gather, before anyone thinks to call it a sign.",Number of noise (street/sidewalk) complaints to 311: Very Low
38,02-07,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Low
39,02-08,"an unseen murmur, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very High
40,02-09,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: High | Number of street condition complaints to 311: Medium | Number of heat/hot water complaints to 311: Medium
41,02-10,"something unnamed will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low | Number of NYPD arrests: Medium | Number of NYC Ferry boardings: Low
42,02-11,"something unnamed, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium | Number of NYC Ferry boardings: Very Low
43,02-12,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of NYC Ferry boardings: Low | Number of rodent inspections conducted by NYC: High | Number of dog bite incidents reported to DOHMH: Medium
44,02-13,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Medium | Number of NYPD arrests: Low | Number of dog bite incidents reported to DOHMH: Very Low
45,02-14,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Low | Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
46,02-15,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Medium | Number of rodent inspections conducted by NYC: High | Number of street condition complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
47,02-16,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: Medium
48,02-17,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
49,02-18,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of heat/hot water complaints to 311: Very High
50,02-19,"something unnamed will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: High | Number of NYPD arrests: Very Low
51,02-20,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of unsanitary condition complaints to 311: Medium
52,02-21,"something unnamed, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: High | Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: High
53,02-22,"an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Very Low
54,02-23,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of NYC Ferry boardings: Very Low | Number of NYPD arrests: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: High
55,02-24,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very High | Number of street condition complaints to 311: Very Low | Number of heat/hot water complaints to 311: High
56,02-25,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
57,02-26,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: High | Number of rodent inspections conducted by NYC: Medium
58,02-27,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Medium | Number of rodent inspections conducted by NYC: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYPD arrests: Medium
59,02-28,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Very Low | Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: Very Low
60,02-29,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low | Number of NYPD arrests: High
61,03-01,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: High
62,03-02,"an unseen murmur, something unnamed will gather, and the air will hesitate just long enough to matter.",Number of noise (street/sidewalk) complaints to 311: Low | Number of NYC Ferry boardings: Very Low | Number of unsanitary condition complaints to 311: Very Low
63,03-03,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Medium
64,03-04,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
65,03-05,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of unsanitary condition complaints to 311: Medium | Number of NYC Ferry boardings: Very Low
66,03-06,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: High | Number of rodent inspections conducted by NYC: Very High
67,03-07,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: High | Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Medium | Number of NYC Ferry boardings: Low
68,03-08,"something unnamed will gather, before anyone thinks to call it a sign.",Number of NYPD arrests: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of rodent inspections conducted by NYC: Very High | Number of street condition complaints to 311: Very High
69,03-09,"something unnamed will gather, before anyone thinks to call it a sign.",Number of rodent inspections conducted by NYC: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
70,03-10,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of NYPD arrests: Very Low | Number of rodent inspections conducted by NYC: Low
71,03-11,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Medium
72,03-12,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Very Low
73,03-13,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: High
74,03-14,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Medium | Number of heat/hot water complaints to 311: Medium
75,03-15,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Medium | Number of heat/hot water complaints to 311: Medium | Number of NYPD arrests: Medium
76,03-16,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: Very Low
77,03-17,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: Medium | Number of rodent inspections conducted by NYC: Very Low | Number of unsanitary condition complaints to 311: Very Low
78,03-18,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Low
79,03-19,"something unnamed, a restless mirror will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: Very High | Number of NYC Ferry boardings: Low
80,03-20,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of heat/hot water complaints to 311: High
81,03-21,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: Very High
82,03-22,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of NYPD arrests: Medium
83,03-23,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Medium
84,03-24,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium | Number of NYPD arrests: Low
85,03-25,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
86,03-26,"an unseen murmur, something unnamed, a restless mirror will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
87,03-27,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: Low | Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Low
88,03-28,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of NYC Ferry boardings: Very Low | Number of street condition complaints to 311: Very High
89,03-29,"a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of heat/hot water complaints to 311: High
90,03-30,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
91,03-31,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: High
92,04-01,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Low | Number of street condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: High
93,04-02,"a restless mirror will gather, and the air will hesitate just long enough to matter.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
94,04-03,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median water pH (SU) across NYC DEP watershed reservoirs: High
95,04-04,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
96,04-05,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
97,04-06,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Medium
98,04-07,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: Medium | Number of rodent inspections conducted by NYC: Low | Number of street condition complaints to 311: High
99,04-08,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of unsanitary condition complaints to 311: Medium | Number of NYC Ferry boardings: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
100,04-09,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium | Number of NYPD arrests: Very High
101,04-10,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Medium
102,04-11,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: Very Low
103,04-12,"an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of noise (street/sidewalk) complaints to 311: Low
104,04-13,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: High | Number of NYC Ferry boardings: Low | Number of heat/hot water complaints to 311: Very Low
105,04-14,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: Very Low | Number of NYC Ferry boardings: High | Number of NYPD arrests: Very Low | Number of rodent inspections conducted by NYC: Low
106,04-15,"a restless mirror, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: High
107,04-16,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: High
108,04-17,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very High
109,04-18,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: Medium | Number of rodent inspections conducted by NYC: Very High
110,04-19,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
111,04-20,"something unnamed, a restless mirror, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very Low | Number of heat/hot water complaints to 311: Medium | Number of street condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: High
112,04-21,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Low
113,04-22,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of dog bite incidents reported to DOHMH: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
114,04-23,"a restless mirror, an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of rodent inspections conducted by NYC: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
115,04-24,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
116,04-25,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
117,04-26,"something unnamed, an unseen murmur, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Low | Number of heat/hot water complaints to 311: Medium | Number of NYC Ferry boardings: High
118,04-27,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of street condition complaints to 311: Very Low
119,04-28,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of rodent inspections conducted by NYC: Very Low
120,04-29,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of unsanitary condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Low
121,04-30,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: High | Number of dog bite incidents reported to DOHMH: Very Low
122,05-01,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
123,05-02,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High
